round,type,entry,exit,bet,pnl,capital,reason,return_pct
round_0011,hot_streak_3,1.2635,1.0742,8.0,-1.1985753858330037,998.801424614167,stop,-14.982192322912546
round_0031,post_massive,1.2064,1.0076,14.982021369212504,-2.4688543171414494,996.3325702970255,stop,-16.4787798408488
round_0035,post_massive,1.2211,1.0241,14.944988554455383,-2.411074232436091,993.9214960645895,stop,-16.132994840717384
round_0038,post_massive,1.5297,2.1528,14.908822440968843,6.072881782681366,999.9943778472709,target,40.733477152382825
round_0043,post_massive,1.3724,1.1301,14.999915667709063,-2.6482654956906906,997.3461123515802,stop,-17.655202564849894
round_0047,post_massive,1.2826,1.0482,14.960191685273703,-2.7340316006768717,994.6120807509034,stop,-18.27537813815686
round_0048,post_massive,1.2595,1.7825,14.91918121126355,6.195102638738257,1000.8071833896416,target,41.524414450178625
round_0060,momentum,4.0953,0.0,12.0096862006757,-12.0096862006757,988.797497188966,crash,-100.0
round_0061,hot_streak_3,1.6346,1.385,7.910379977511728,-1.2078984720340928,987.5895987169318,stop,-15.269790774501413
round_0062,hot_streak_3,1.2929,2.0093,7.900716789735455,4.377812288782181,991.967411005714,target,55.41031789001472
round_0064,hot_streak_3,1.8628,2.2062,7.935739288045712,1.4629229501368357,993.4303339558508,target,18.43461455872879
round_0065,hot_streak_3,1.2742,2.0037,7.947442671646806,4.5500387921569185,997.9803727480077,target,57.2516088526134
round_0066,momentum,2.3962,3.2222,11.975764472976092,4.128195248592878,1002.1085679966006,time,34.47124613972123
round_0070,post_massive,1.1945,1.0033,15.03162851994901,-2.406067285905607,999.7025007106951,stop,-16.006697362913336
round_0078,post_massive,1.2634,1.0203,14.995537510660425,-2.8854006402101877,996.8171000704849,stop,-19.241728668671843
round_0079,post_massive,1.14,0.9459,14.952256501057272,-2.545818409522118,994.2712816609628,stop,-17.026315789473678
round_0081,post_massive,1.3317,0.998,11.931255379931555,-2.9897573930188184,991.281524267944,stop,-25.058196290455815
round_0110,hot_streak,1.0784,0.8349,12.3910190533493,-2.7978608489341212,988.4836634190099,stop,-22.57974777448072
round_0140,momentum,2.2055,1.6688,11.861803961028118,-2.886524681878843,985.597138737131,stop,-24.3346180004534
round_0141,post_massive,1.3369,1.9145,11.827165664845573,5.109859292403922,990.7069980295349,target,43.20442815468621
round_0143,post_massive,1.14,1.5753,14.860604970443024,5.674404687398113,996.381402716933,quick_profit,38.184210526315795
round_0144,hot_streak,1.8836,1.3565,9.963814027169331,-2.788238677915137,993.593164039018,stop,-27.983648332979392
round_0146,post_massive,1.292,1.0607,14.90389746058527,-2.668166782223974,990.924997256794,stop,-17.90247678018576
round_0156,post_massive,1.4599,1.138,14.863874958851909,-3.277403486029474,987.6475937707645,stop,-22.049455442153576
round_0157,momentum,2.5255,13.2513,11.851771125249174,50.334479008195444,1037.98207277896,time,424.70005939417933
round_0162,post_massive,1.2368,0.9977,15.569731091684398,-3.0099633764729443,1034.972109402487,stop,-19.332147477360916
round_0181,post_massive,1.4266,2.0415,12.419665312829842,5.353183934430863,1040.3252933369179,target,43.102481424365614
round_0182,post_massive,1.2995,0.922,15.604879400053768,-4.533160425948671,1035.7921329109693,stop,-29.049634474798005
round_0193,post_massive,1.4914,1.1714,15.536881993664538,-3.3336477390188115,1032.4584851719503,stop,-21.456349738500748
round_0209,post_massive,1.2048,1.6869,15.486877277579254,6.197064687517393,1038.6555498594678,target,40.01494023904382
round_0210,post_massive,1.1616,0.9481,15.579833247892017,-2.863545453189518,1035.7920044062782,stop,-18.379820936639113
round_0223,hot_streak,1.0832,0.849,10.357920044062782,-2.239498591506189,1033.5525058147718,stop,-21.621122599704577
round_0228,post_massive,1.3915,2.1274,15.503287587221577,8.198971854427858,1041.7514776691996,target,52.88537549407118
round_0236,post_massive,1.1201,0.8813,15.626272165037994,-3.331447007419941,1038.4200306617797,stop,-21.31952504240694
round_0257,hot_streak_3,1.1661,0.9325,5.815152171705966,-1.1649254329049938,1037.2551052288748,stop,-20.032587256667522
round_0258,hot_streak_3,1.1014,0.0,5.808628589281699,-5.808628589281699,1031.4464766395931,crash,-100.0
round_0278,hot_streak_3,1.2394,2.151,8.08654037685441,5.947789420316669,1037.3942660599098,target,73.5517185735033
round_0279,hot_streak,1.151,2.9623,14.523519724838737,22.855300849348744,1060.2495669092586,streak_profit,157.36750651607298
round_0280,post_massive,1.234,0.9012,15.903743503638879,-4.289113320916547,1055.960453588342,stop,-26.96920583468395
round_0281,hot_streak_5,1.0774,0.8953,24.836189868397803,-4.197763295930237,1051.762690292412,stop,-16.901800631149055
round_0284,post_massive,1.2991,1.954,15.776440354386178,7.9531912771053115,1059.7158815695173,target,50.41182357016396
round_0299,post_massive,1.2103,1.0245,15.895738223542757,-2.4402447012593935,1057.2756368682578,stop,-15.351565727505578
round_0301,post_massive,1.2702,1.8774,15.859134553023868,7.581220674378908,1064.8568575426366,target,47.8034955125177
round_0302,hot_streak_3,1.1597,2.0316,11.92639680447753,8.966651180325911,1073.8235087229625,target,75.18323704406313
round_0303,hot_streak_3,1.325,2.1466,12.026823297697181,7.457538129349437,1081.281046852312,target,62.00754716981132
round_0304,hot_streak,1.0564,2.6775,15.13793465593237,23.22993740129872,1104.5109842536108,streak_profit,153.45513063233628
round_0306,hot_streak_5,1.2361,1.0379,32.47262293705616,-5.206758244579348,1099.3042260090313,stop,-16.03430143192298
round_0309,hot_streak,1.1045,0.9302,15.390259164126437,-2.428720844098903,1096.8755051649323,stop,-15.780896333182437
round_0330,momentum,2.0381,1.5523,13.162506061979188,-3.137405154265979,1093.7381000106664,stop,-23.835925616996224
round_0334,hot_streak_3,1.2323,2.045,12.249866720119462,8.078768711710692,1101.8168687223772,target,65.94984987421894
round_0338,post_massive,1.4281,1.1535,16.527253030835656,-3.177917290293026,1098.638951432084,stop,-19.2283453539668
round_0353,post_massive,1.1739,0.8446,16.479584271481258,-4.6228188947940865,1094.01613253729,stop,-28.051793168072237
round_0354,post_massive,1.2562,1.0582,16.41024198805935,-2.5865530278902664,1091.4295795094,stop,-15.76182136602452
round_0356,post_massive,1.322,1.8753,13.0971549541128,5.481585352579888,1096.9111648619798,target,41.853252647503766
round_0358,post_massive,1.5355,2.1938,16.4536674729297,7.054021033819353,1103.965185895799,target,42.872028655161174
round_0374,post_massive,1.2762,0.9459,16.559477788436986,-4.285845097571492,1099.6793407982277,stop,-25.88152327221439
round_0377,hot_streak_3,1.5015,1.0454,12.31640861694015,-3.7412680454121894,1095.9380727528155,stop,-30.37629037629037
round_0378,hot_streak_3,1.1271,0.972,12.274506414831535,-1.6890923120755659,1094.2489804407398,stop,-13.760979504924142
round_0379,hot_streak_3,1.8939,2.1892,12.255588580936285,1.9109115095572555,1096.1598919502972,target,15.592164317017797
round_0392,hot_streak_3,1.436,2.0116,12.276990789843328,4.921055639717146,1101.0809475900144,target,40.08356545961003
round_0393,hot_streak,1.6563,3.4864,15.4151332662602,17.032684532139584,1118.1136321221538,target,110.49326812775462
round_0394,hot_streak,1.3227,1.0761,19.56698856213769,-3.648007393530774,1114.465624728623,stop,-18.643683374914943
round_0395,hot_streak_3,1.1114,0.8507,12.482014996960578,-2.9278939263160186,1111.5377308023071,stop,-23.45690120568652
round_0398,post_massive,1.4488,2.2653,16.673065962034606,9.396437298454757,1120.934168100762,target,56.35698509110987
round_0400,hot_streak,1.0433,0.0,15.693078353410668,-15.693078353410668,1105.2410897473515,crash,-100.0
round_0401,hot_streak,1.0521,0.7199,10.831362679524043,-3.419996846438444,1101.821092900913,stop,-31.57494534740044
round_0402,hot_streak,1.0466,0.8009,10.797846710428948,-2.5349043920813994,1099.2861885088316,stop,-23.47601758073763
round_0403,hot_streak,1.1584,3.1,10.77300464738655,18.05668665691102,1117.3428751657425,target,167.61049723756906
round_0405,hot_streak_3,1.5144,2.0077,12.514240201856316,4.076383182498494,1121.4192583482409,target,32.57395668251453
round_0409,hot_streak_3,1.2453,1.0491,12.559895693500298,-1.978841672741316,1119.4404166754996,stop,-15.755239701276814
round_0425,hot_streak,1.5089,0.0,15.672165833456994,-15.672165833456994,1103.7682508420426,crash,-100.0
round_0426,hot_streak,1.0998,0.9192,15.452755511788595,-2.537522863637953,1101.2307279784045,stop,-16.42116748499728
round_0439,post_massive,1.2215,1.8426,16.518460919676066,8.399194496283915,1109.6299224746883,target,50.847318870241494
round_0440,hot_streak,1.0931,0.8867,10.874373240251945,-2.053307690776691,1107.5766147839115,stop,-18.882078492361167
round_0442,post_massive,1.105,0.8989,16.61364922175867,-3.0987086919497386,1104.4779060919618,stop,-18.651583710407238
round_0461,post_massive,1.1312,1.6314,16.567168591379428,7.325758247355012,1111.8036643393168,target,44.218528995756714
round_0462,post_massive,1.5758,2.1688,16.677054965089752,6.275855815648065,1118.0795201549647,quick_profit,37.63167914709988
round_0464,post_massive,1.2023,1.8283,21.802550643021814,11.35190609875377,1129.4314262537187,target,52.06687182899443
round_0472,post_massive,1.1874,0.9948,26.428695374337018,-4.286817188055675,1125.144609065663,stop,-16.220313289540165
round_0477,post_massive,1.1308,0.9245,21.940319876780425,-4.002730801715423,1121.1418782639475,stop,-18.24372125928546
round_0479,hot_streak_3,1.67,2.1367,8.789752325589347,2.4563936588937416,1123.5982719228414,target,27.946107784431142
round_0480,post_massive,1.115,1.8079,21.910166302495405,13.615743704931894,1137.2140156277733,target,62.143497757847534
round_0481,post_massive,1.4227,2.1564,22.17567330474158,11.43620686278829,1148.6502224905614,target,51.57095663175652
round_0487,post_massive,1.4867,1.1914,22.398679338565948,-4.449001149309559,1144.201221341252,stop,-19.86278334566489
round_0488,hot_streak_3,1.3346,2.0309,12.815053679022022,6.685989717295843,1150.8872110585478,target,52.172935711074466
round_0490,post_massive,1.372,1.1551,22.44230061564168,-3.5479118101550178,1147.3392992483928,stop,-15.809037900874646
round_0492,post_massive,1.354,1.0208,22.37311633534366,-5.505703369967879,1141.8335958784248,stop,-24.608567208271793
round_0493,post_massive,1.4485,2.0348,17.812604095703428,7.209892841774888,1149.0434887201998,target,40.47635484984469
round_0498,post_massive,1.42,2.2881,22.406348030043894,13.697852623155711,1162.7413413433553,target,61.133802816901415
round_0507,post_massive,1.2592,1.0023,22.67345615619543,-4.625802800608806,1158.1155385427464,stop,-20.401842439644224
round_0510,post_massive,1.309,1.8569,22.583253001583557,9.452531947721646,1167.568070490468,target,41.85637891520244
round_0511,hot_streak_3,1.2211,0.9607,13.076762389493242,-2.7886241308853013,1164.7794463595826,stop,-21.325034804684307
round_0515,hot_streak_3,1.6259,1.2732,13.045529799227324,-2.8299147304185226,1161.949531629164,stop,-21.69260102097299
round_0516,post_massive,1.3992,2.0878,22.6580158667687,11.150878877827992,1173.1004105069921,target,49.21383647798743
round_0518,post_massive,1.11,1.6184,22.875458004886347,10.477371936652446,1183.5777824436448,target,45.8018018018018
round_0522,hot_streak_3,1.7378,2.177,13.256071163368821,3.3502511537297632,1186.9280335973745,target,25.273334100586943
round_0524,hot_streak,1.4622,1.16,16.616992470363243,-3.434314816402525,1183.4937187809721,stop,-20.667487347832036
round_0554,hot_streak_3,1.8893,2.2943,13.255129650346888,2.841437309262947,1186.3351560902352,target,21.43651087704439
round_0555,post_massive,1.3469,1.1008,27.760242652511504,-5.072236778367422,1181.2629193118676,stop,-18.271586606281087
round_0561,post_massive,1.5134,2.2965,23.034626926581417,11.919133306598326,1193.1820526184658,target,51.74441654552662
round_0567,hot_streak,1.6901,0.0,16.70454873665852,-16.70454873665852,1176.4775038818073,crash,-100.0
round_0568,post_massive,1.1243,1.5747,22.941311325695242,9.190399912028045,1185.6679037938352,target,40.06048207773725
round_0571,post_massive,1.4044,1.9872,23.120524123979788,9.594589475545018,1195.2624932693802,target,41.498148675591004
round_0572,post_massive,1.182,1.9628,27.969142342503496,18.475724484794192,1213.7382177541745,target,66.0575296108291
round_0574,post_massive,1.1111,1.5869,28.40147429544768,12.162200944806056,1225.9004186989805,target,42.82242822428224
round_0575,post_massive,1.1213,0.944,28.68606979755614,-4.535842482035768,1221.3645762169447,stop,-15.812003924016771
round_0577,hot_streak_3,1.581,1.3436,13.67928325362978,-2.054055562562752,1219.310520654382,stop,-15.015812776723592
round_0581,hot_streak_3,1.5538,1.2737,13.656277831329078,-2.4617862147993783,1216.8487344395824,stop,-18.026773072467495
round_0583,post_massive,1.3616,1.1214,23.728550321571856,-4.185956071710898,1212.6627783678714,stop,-17.64101057579318
round_0585,hot_streak_3,1.7315,2.2962,9.50727618240411,3.1006404043913367,1215.7634187722626,target,32.61334103378572
round_0587,hot_streak_3,1.3207,1.0895,13.61655029024934,-2.3836953336152416,1213.3797234386475,stop,-17.505868100249877
round_0600,post_massive,1.2624,1.0721,23.660904607053627,-3.5667539185062616,1209.8129695201412,stop,-15.074461343472745
round_0605,hot_streak_3,1.7165,2.1136,13.54990525862558,3.134673683775249,1212.9476432039164,target,23.13428488202738
round_0618,hot_streak_3,1.6889,1.3508,13.585013603883862,-2.7195767064202343,1210.2280664974962,stop,-20.01894724376814
round_0627,post_massive,1.1676,0.9914,18.87955783736094,-2.8490733906671792,1207.378993106829,stop,-15.090784515244948
round_0633,post_massive,1.2264,0.9793,18.835112292466533,-3.7949741091556426,1203.5840189976736,stop,-20.14840182648402
round_0646,post_massive,1.1455,0.9473,18.77591069636371,-3.2486996944734052,1200.3353193032,stop,-17.302487996508063
round_0647,post_massive,1.4729,2.0807,18.725230981129922,7.727065917802136,1208.0623852210022,target,41.26553058591893
round_0648,post_massive,1.2278,1.0114,23.557216511809543,-4.15196420683791,1203.9104210141643,stop,-17.62502036162241
round_0659,hot_streak,1.2987,0.8989,16.8547458941983,-5.188671293216663,1198.7217497209476,stop,-30.784630784630785
round_0660,hot_streak,1.4299,3.0473,16.782104496093265,18.982709148878417,1217.7044588698259,target,113.11280509126513
round_0661,post_massive,1.4529,1.1633,23.745236947961605,-4.733030917564651,1212.9714279522614,stop,-19.932548695712025
round_0665,hot_streak_3,1.171,0.9812,13.585279993065328,-2.201952299473783,1210.7694756527876,stop,-16.208368915456884
round_0667,hot_streak_3,1.411,2.0147,13.560618127311221,5.801945544619263,1216.5714211974068,target,42.785258681785955
round_0668,hot_streak_3,1.1065,0.9504,13.625599917410955,-1.922237819347357,1214.6491833780594,stop,-14.107546317216446
round_0686,post_massive,1.3129,1.8468,23.68565907587216,9.63193950842269,1224.2811228864823,target,40.66570188133141
round_0691,post_massive,1.3247,1.0611,23.873481896286407,-4.7505471637813095,1219.530575722701,stop,-19.898845021514312
round_0705,hot_streak_3,1.9378,2.0218,13.658742448094252,0.5920808987717603,1220.1226566214727,target,4.334812674166577
round_0706,momentum,2.0937,1.5873,14.641471879457672,-3.541310292667225,1216.5813463288055,stop,-24.18684625304486
round_0707,hot_streak,1.1558,0.9756,17.032138848603275,-2.655469303095959,1213.9258770257095,stop,-15.590932687316139
round_0711,hot_streak_3,1.1195,0.8669,13.595969822687946,-3.067746294962907,1210.8581307307466,stop,-22.563644484144707
round_0712,hot_streak_3,1.6027,1.2108,13.561611064184362,-3.316151105043895,1207.5419796257027,stop,-24.4524864291508
